order_134,order_135,order_13,order_16,order_141,order_143,order_146,order_147,order_164,order_150,order_152,order_153,order_155,order_157,order_159,order_131,order_132,order_133,order_137,order_139,order_10,order_128,order_129,order_130,order_1,order_4,order_7,order_162,order_127,order_136,order_142,order_144,order_145,order_148,order_163,order_149,order_151,order_154,order_156,order_158,order_160,order_138,order_140,order_161,gene
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,31,31,59,59,59,59,59,59,59,59,59,59,59,59,59,59,accD_1
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,83,83,83,83,83,83,83,83,83,83,83,83,83,83,atpA_1
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29,29,61,61,61,61,61,61,61,61,61,61,61,61,61,61,atpB_1
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28,28,62,62,62,62,62,62,62,62,62,62,62,62,62,62,atpE_1
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,82,82,82,82,82,82,82,82,82,82,82,82,82,82,atpF_1
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,81,81,81,81,81,81,81,81,81,81,81,81,81,81,atpH_1
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,80,80,80,80,80,80,80,80,80,80,80,80,80,80,atpI_1
73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,74,74,10,10,10,10,10,10,10,10,10,10,10,10,10,10,ccsA_1
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,34,34,56,56,56,56,56,56,56,56,56,56,56,56,56,56,cemA_1
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,48,48,42,42,42,42,42,42,42,42,42,42,42,42,42,42,clpP1_1
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,58,58,32,32,32,32,32,32,32,32,32,32,32,32,32,32,infA_1
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,87,87,87,87,87,87,87,87,87,87,87,87,87,87,matK_1
79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,80,80,16,16,16,16,16,16,16,16,16,16,16,16,16,16,ndhA_1
67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,86,86,4,4,4,4,4,4,4,4,4,4,4,4,4,4,ndhB-fragment_1
85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,NA,NA,22,22,22,22,22,22,22,22,22,22,22,22,22,22,ndhB_1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ndhB_2
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,63,63,63,63,63,63,63,63,63,63,63,63,63,63,ndhC_1
74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,75,75,11,11,11,11,11,11,11,11,11,11,11,11,11,11,ndhD_1
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,77,77,13,13,13,13,13,13,13,13,13,13,13,13,13,13,ndhE_1
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,72,72,8,8,8,8,8,8,8,8,8,8,8,8,8,8,ndhF_1
77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,78,78,14,14,14,14,14,14,14,14,14,14,14,14,14,14,ndhG_1
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,81,81,17,17,17,17,17,17,17,17,17,17,17,17,17,17,ndhH_1
78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,79,79,15,15,15,15,15,15,15,15,15,15,15,15,15,15,ndhI_1
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,65,65,65,65,65,65,65,65,65,65,65,65,65,65,ndhJ_1
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,64,64,64,64,64,64,64,64,64,64,64,64,64,64,ndhK_1
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,67,67,67,67,67,67,67,67,67,67,67,67,67,67,pafII_1
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,33,33,57,57,57,57,57,57,57,57,57,57,57,57,57,57,pafI_1
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,51,51,39,39,39,39,39,39,39,39,39,39,39,39,39,39,pbf1_1
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,35,35,55,55,55,55,55,55,55,55,55,55,55,55,55,55,petA_1
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,53,53,37,37,37,37,37,37,37,37,37,37,37,37,37,37,petB_1
53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,54,54,36,36,36,36,36,36,36,36,36,36,36,36,36,36,petD_1
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,41,41,49,49,49,49,49,49,49,49,49,49,49,49,49,49,petG_1
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,40,40,50,50,50,50,50,50,50,50,50,50,50,50,50,50,petL_1
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,75,75,75,75,75,75,75,75,75,75,75,75,75,75,petN-fragment_1
